cdate,cp,pctlead,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,pred_linr,pred_logr
2000-03-01,1379.189900,0.186300,1.134200,1.119500,0.474700,0.272800,0.331900,0.348700,-0.083700,-0.069400,0.124717,0.498252
2000-03-02,1381.760000,1.983700,0.555600,0.816700,0.884000,0.416100,0.258100,0.310700,0.328000,-0.053200,-0.060500,0.486069
2000-03-03,1409.170000,-1.269500,1.074200,1.025200,1.103900,1.101200,0.678300,0.506500,0.521400,0.513500,0.033420,0.503636
2000-03-06,1391.280000,-2.563100,0.339900,0.289100,0.447000,0.624000,0.699900,0.393900,0.279000,0.317400,0.088769,0.495715
2000-03-07,1355.620000,0.817300,-1.949500,-0.629000,-0.425600,-0.156100,0.091400,0.231100,0.020000,-0.041200,-0.026138,0.446094
2000-03-08,1366.700000,2.560200,-0.902900,-1.032400,-0.272700,-0.180900,0.003400,0.193300,0.303100,0.107600,-0.029958,0.483646
2000-03-09,1401.689900,-0.472300,1.664100,0.252400,-0.135600,0.287800,0.270900,0.364200,0.485300,0.551100,0.195169,0.514239
2000-03-10,1395.069900,-0.820700,1.014400,0.947500,0.068700,-0.204000,0.160000,0.163700,0.258600,0.377800,0.082695,0.471198
2000-03-13,1383.620000,-1.768500,-0.650300,0.404700,0.504800,-0.111000,-0.308100,0.019200,0.040000,0.138000,-0.127333,0.474490
2000-03-14,1359.150000,2.427300,-1.309600,-1.028100,-0.136300,0.051100,-0.388900,-0.518200,-0.204400,-0.161000,-0.020763,0.530574
2000-03-15,1392.140000,4.764600,0.309700,-0.070900,-0.172700,0.367000,0.440100,0.008900,-0.154200,0.083300,0.218155,0.523816
2000-03-16,1458.470000,0.411400,3.484200,1.778000,1.133500,0.812500,1.093800,1.054100,0.604600,0.394300,0.202490,0.510264
2000-03-17,1464.470000,-0.535300,2.474600,2.440700,1.424900,0.983300,0.742700,0.992100,0.970000,0.581900,-0.002522,0.455836
2000-03-20,1456.630000,2.556600,-0.063000,1.472500,1.688900,1.023900,0.723000,0.554400,0.795100,0.796700,-0.201354,0.445912
2000-03-21,1493.870000,0.453200,0.996400,0.801800,1.732000,1.854200,1.278300,0.987200,0.808400,0.993100,0.011893,0.513777
2000-03-22,1500.640000,1.779900,1.469700,0.812600,0.712900,1.471400,1.614000,1.155700,0.917300,0.766800,0.198332,0.479191
2000-03-23,1527.350000,0.007200,1.105700,1.564000,1.051800,0.925400,1.519000,1.634000,1.233400,1.014700,0.000598,0.402062
2000-03-24,1527.460000,-0.235700,0.878000,0.737400,1.170900,0.839200,0.769100,1.297500,1.423800,1.091300,-0.147692,0.437793
2000-03-27,1523.860000,-1.058500,-0.114400,0.507100,0.493300,0.887700,0.657700,0.623100,1.102000,1.234300,-0.043326,0.443861
2000-03-28,1507.730000,0.052400,-0.650800,-0.430400,0.116500,0.182700,0.562700,0.410500,0.410400,0.858700,0.017086,0.472377
2000-03-29,1508.520000,-1.365600,-0.508600,-0.417200,-0.310300,0.103800,0.161100,0.490000,0.365700,0.370500,0.049223,0.469512
2000-03-30,1487.920000,0.716400,-0.661100,-0.797900,-0.655900,-0.521900,-0.140000,-0.056200,0.259100,0.173300,0.021044,0.474724
2000-03-31,1498.580000,0.493100,-0.332800,-0.203600,-0.421100,-0.383700,-0.317800,-0.019500,0.039000,0.309000,0.045517,0.484741
2000-04-03,1505.970000,-0.746400,0.600800,-0.056800,-0.029300,-0.238300,-0.237900,-0.202500,0.044100,0.089000,0.055855,0.519949
2000-04-04,1494.730000,-0.492400,-0.128300,0.151400,-0.230300,-0.173400,-0.323500,-0.310900,-0.270600,-0.043500,0.086572,0.508322
2000-04-05,1487.370000,0.939200,-0.623700,-0.249800,-0.009200,-0.283000,-0.226600,-0.347800,-0.333700,-0.295200,0.008224,0.509589
2000-04-06,1501.340000,0.999800,0.221200,-0.103300,0.046100,0.179200,-0.080000,-0.060900,-0.187800,-0.193300,0.099812,0.529852
2000-04-07,1516.350000,-0.784100,0.960300,0.479900,0.173000,0.236800,0.315700,0.074600,0.071800,-0.055600,0.133332,0.510900
2000-04-10,1504.460000,-0.257200,0.103300,0.377900,0.161900,-0.020100,0.065300,0.157400,-0.033800,-0.024200,0.042938,0.487936
2000-04-11,1500.590000,-2.227100,-0.524500,-0.016600,0.219500,0.078000,-0.059700,0.019100,0.105500,-0.058800,-0.044018,0.487269
2000-04-12,1467.170000,-1.817100,-1.256500,-1.099700,-0.570600,-0.269700,-0.307000,-0.370500,-0.262200,-0.154000,0.049914,0.514104
2000-04-13,1440.510000,-5.827800,-2.066300,-1.450700,-1.282700,-0.818800,-0.524700,-0.520500,-0.549500,-0.432800,0.084692,0.492215
2000-04-14,1356.560100,3.308400,-3.954500,-3.377600,-2.565600,-2.198200,-1.647900,-1.271600,-1.173500,-1.126000,0.020230,0.505358
2000-04-17,1401.439900,2.866300,-1.416600,-1.565600,-1.750000,-1.437600,-1.325300,-0.980700,-0.735200,-0.708000,0.105584,0.519113
2000-04-18,1441.610000,-0.980800,2.991500,0.026200,-0.453200,-0.829900,-0.730100,-0.739100,-0.513600,-0.348500,0.292609,0.605593
2000-04-19,1427.470000,0.495300,0.907300,1.660500,-0.231700,-0.561700,-0.856700,-0.767200,-0.770200,-0.565800,0.144229,0.509064
2000-04-20,1434.540000,-0.326200,-0.247000,0.769100,1.366900,-0.084500,-0.383800,-0.662500,-0.609600,-0.630600,-0.174764,0.533789
2000-04-24,1429.860000,3.327600,0.083400,-0.273800,0.495700,1.027300,-0.125400,-0.375700,-0.620500,-0.578300,0.148071,0.596788
2000-04-25,1477.439900,-1.113400,1.475600,1.150900,0.621000,1.054000,1.403600,0.370500,0.090000,-0.179800,0.263073,0.508462
2000-04-26,1460.990000,0.269000,1.059400,0.605500,0.577600,0.268000,0.686700,1.036700,0.179200,-0.048000,0.088887,0.480749
2000-04-27,1464.920000,-0.852600,-0.427900,0.796200,0.520800,0.515300,0.268100,0.626200,0.939100,0.189300,-0.158273,0.417987
2000-04-28,1452.430100,1.089200,-0.293400,-0.571200,0.385400,0.245600,0.286200,0.106600,0.440000,0.738000,-0.035389,0.505314
2000-05-01,1468.250000,-1.495700,0.114000,0.165500,-0.157200,0.524200,0.385100,0.400300,0.229300,0.511700,0.160069,0.489322
2000-05-02,1446.290000,-2.156600,-0.210700,-0.426600,-0.252100,-0.427100,0.187300,0.115200,0.161800,0.035800,0.033446,0.477844
2000-05-03,1415.100000,-0.390800,-1.857500,-0.862200,-0.861600,-0.633200,-0.715900,-0.144900,-0.167400,-0.094800,-0.030161,0.466149
2000-05-04,1409.569900,1.636000,-1.300000,-1.373900,-0.746800,-0.769600,-0.594000,-0.670800,-0.175000,-0.191700,-0.014979,0.510604
2000-05-05,1432.630000,-0.590500,0.616800,-0.320900,-0.624500,-0.276100,-0.374400,-0.281100,-0.388000,0.021300,0.224885,0.545116
2000-05-08,1424.170000,-0.844700,0.511100,0.212600,-0.389300,-0.618400,-0.328800,-0.405500,-0.319800,-0.410600,0.113406,0.508727
2000-05-09,1412.140000,-2.060000,-0.722400,0.060200,-0.052100,-0.481400,-0.657000,-0.402600,-0.460500,-0.377900,-0.031423,0.501533
2000-05-10,1383.050000,1.790200,-1.471100,-1.175100,-0.469200,-0.453900,-0.746000,-0.858600,-0.609100,-0.637400,-0.002043,0.539765
2000-05-11,1407.810100,0.934100,-0.155100,-0.389200,-0.441100,-0.024900,-0.086100,-0.389300,-0.533400,-0.348600,0.194759,0.539138
2000-05-12,1420.960000,2.209800,1.340200,0.209400,-0.057100,-0.165600,0.134300,0.059200,-0.224100,-0.370900,0.189008,0.530835
2000-05-15,1452.360000,0.941900,1.550500,1.619000,0.710100,0.398400,0.232100,0.430800,0.328500,0.047600,0.046320,0.479104
2000-05-16,1466.040000,-1.244200,1.544700,1.341900,1.444000,0.755900,0.490100,0.335200,0.495400,0.397700,-0.044953,0.506944
2000-05-17,1447.800000,-0.731500,-0.156500,0.614700,0.691000,0.899900,0.415700,0.236500,0.132900,0.297600,0.032240,0.498391
2000-05-18,1437.210000,-2.105500,-0.999300,-0.348200,0.280000,0.407000,0.627400,0.250300,0.114100,0.035600,0.007927,0.481231
2000-05-19,1406.950000,-0.442800,-1.436300,-1.376800,-0.788600,-0.194300,-0.010000,0.238100,-0.045400,-0.134200,0.074796,0.486984
2000-05-22,1400.720000,-1.917600,-1.299700,-1.109100,-1.147400,-0.721400,-0.235000,-0.070700,0.154500,-0.089100,0.042177,0.457792
2000-05-23,1373.860000,1.833500,-1.192600,-1.515000,-1.316000,-1.304500,-0.920000,-0.471700,-0.297700,-0.071700,0.042627,0.498523
2000-05-24,1399.050000,-1.253000,-0.060200,-0.189300,-0.683800,-0.694700,-0.791300,-0.536800,-0.192500,-0.068400,0.064472,0.507075
2000-05-25,1381.520000,-0.253300,0.275500,-0.462200,-0.457800,-0.799900,-0.789100,-0.858300,-0.626200,-0.309000,0.106655,0.556073
2000-05-26,1378.020000,3.224200,-0.762100,0.100000,-0.410300,-0.417300,-0.709700,-0.713700,-0.784100,-0.585800,0.081152,0.518732
2000-05-30,1422.450000,-0.130100,1.461500,0.559500,0.870600,0.312400,0.185500,-0.151200,-0.226300,-0.344700,0.081117,0.558050
2000-05-31,1420.600000,1.985800,1.497700,0.925800,0.384600,0.667600,0.237400,0.139600,-0.148500,-0.215500,0.203862,0.538110
2000-06-01,1448.810100,1.963700,0.918700,1.649400,1.186800,0.705700,0.886900,0.489500,0.372900,0.091800,-0.004204,0.463355
2000-06-02,1477.260000,-0.651900,1.936400,1.261000,1.720200,1.339600,0.917000,1.041500,0.677300,0.553500,0.007261,0.513735
2000-06-05,1467.630000,-0.667100,0.639100,1.070400,0.777100,1.238300,0.999600,0.686100,0.822900,0.524000,0.049137,0.462768
2000-06-06,1457.840000,0.927400,-0.663800,0.205100,0.636400,0.486700,0.918000,0.757700,0.513300,0.653400,-0.042574,0.445241
2000-06-07,1471.360000,-0.658600,0.127300,-0.134200,0.383900,0.693200,0.559400,0.918200,0.778200,0.559400,-0.000228,0.472692
2000-06-08,1461.670000,-0.322900,0.130600,-0.135700,-0.266100,0.175300,0.467500,0.384300,0.719400,0.616300,0.070079,0.462070
2000-06-09,1456.950000,-0.751600,-0.493700,-0.020300,-0.182600,-0.277600,0.092600,0.354900,0.295800,0.603200,0.004766,0.453281
2000-06-12,1446.000000,1.621000,-0.539800,-0.581000,-0.202900,-0.296600,-0.356800,-0.027400,0.217300,0.179700,-0.042347,0.490776
2000-06-13,1469.439900,0.074900,0.428400,0.177700,-0.032900,0.158800,0.020700,-0.076400,0.176200,0.371200,0.093965,0.507418
2000-06-14,1470.540000,0.556900,0.834700,0.309900,0.151800,-0.011200,0.144700,0.028400,-0.057400,0.164900,0.120196,0.517097
2000-06-15,1478.730000,-0.965000,0.315000,0.740700,0.371400,0.233000,0.083900,0.203700,0.094800,0.011200,0.025265,0.484835
2000-06-16,1464.460000,1.470900,-0.206600,-0.112800,0.313800,0.102500,0.031800,-0.067300,0.056500,-0.024100,-0.016108,0.506347
