cdate,cp,pctlead,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,pred_linr,pred_logr
2010-01-04,1132.990000,0.311600,0.292200,0.201200,0.115800,0.115700,0.183600,0.190100,0.210600,0.302000,-0.002481,0.493448
2010-01-05,1136.520000,0.054600,0.943800,0.298400,0.228800,0.155000,0.148400,0.201900,0.205300,0.221800,-0.082992,0.480388
2010-01-06,1137.140000,0.400100,0.182500,0.647000,0.237100,0.193700,0.138200,0.134900,0.183300,0.188400,0.042271,0.501923
2010-01-07,1141.689900,0.288200,0.226900,0.254700,0.584600,0.269600,0.228100,0.175700,0.168200,0.207500,-0.010301,0.509617
2010-01-08,1144.980000,0.174700,0.342900,0.247100,0.262900,0.524800,0.272600,0.236700,0.189800,0.181600,-0.025288,0.504514
2010-01-11,1146.980000,-0.938100,0.230800,0.286600,0.228800,0.245100,0.466100,0.258400,0.228800,0.188100,0.040393,0.504977
2010-01-12,1136.220000,0.832600,-0.383700,-0.159600,-0.020100,-0.005300,0.047200,0.264800,0.107800,0.098100,0.025710,0.505003
2010-01-13,1145.680100,0.242600,-0.057000,0.020400,0.087200,0.149400,0.133700,0.158800,0.335200,0.188100,0.045210,0.505242
2010-01-14,1148.460000,-1.082300,0.533500,0.043100,0.076000,0.118300,0.164900,0.149200,0.169300,0.324800,-0.039369,0.490480
2010-01-15,1136.030000,1.250000,-0.422400,-0.005500,-0.239800,-0.156600,-0.082500,-0.013900,-0.005400,0.029600,0.098845,0.517150
2010-01-19,1150.230000,-1.059800,0.077400,0.132500,0.305900,0.056900,0.076500,0.106600,0.143100,0.133300,0.017661,0.508460
2010-01-20,1138.040000,-1.894500,0.087800,-0.304300,-0.167100,0.031800,-0.130400,-0.086700,-0.039900,0.008700,0.010861,0.516305
2010-01-21,1116.480000,-2.214100,-1.497000,-0.574200,-0.704300,-0.513300,-0.288800,-0.382600,-0.312600,-0.245600,0.267161,0.562414
2010-01-22,1091.760000,0.459800,-2.095800,-1.747300,-0.984500,-1.006600,-0.795200,-0.560900,-0.609300,-0.521300,0.238023,0.578902
2010-01-25,1096.780000,-0.420300,-0.900100,-1.248400,-1.203000,-0.701700,-0.768000,-0.620700,-0.437100,-0.494100,0.164552,0.552608
2010-01-26,1092.170000,0.488000,0.018700,-0.741000,-1.043200,-1.048900,-0.656100,-0.719700,-0.596500,-0.435500,0.127898,0.534359
2010-01-27,1097.500000,-1.181800,0.032900,0.174700,-0.433500,-0.737800,-0.795000,-0.495100,-0.571400,-0.478600,0.070103,0.523771
2010-01-28,1084.530000,-0.982900,-0.350100,-0.374100,-0.165400,-0.584900,-0.813300,-0.851300,-0.580800,-0.639100,0.146667,0.570809
2010-01-29,1073.870000,1.426600,-1.094800,-0.562100,-0.526900,-0.328600,-0.651900,-0.838500,-0.868600,-0.625300,0.216499,0.595044
2010-02-01,1089.189900,1.297300,0.215400,-0.255900,-0.068600,-0.139600,-0.039300,-0.357900,-0.558800,-0.617800,0.075012,0.555379
