cdate,cp,pctlead,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,pred_linr,pred_logr
2002-01-02,1154.670000,0.918000,-0.275800,-0.071000,0.114700,0.173600,0.141400,0.182900,0.055500,0.113500,0.041996,0.500998
2002-01-03,1165.270000,0.621300,0.741000,0.122500,0.175800,0.274800,0.297300,0.252200,0.274700,0.151600,0.065860,0.500601
2002-01-04,1172.510000,-0.649900,0.763100,0.699500,0.247600,0.265100,0.332500,0.343600,0.298500,0.313300,0.037764,0.474385
2002-01-07,1164.890000,-0.358800,-0.016300,0.291800,0.360900,0.066700,0.111400,0.191000,0.218300,0.192000,-0.015549,0.482662
2002-01-08,1160.710000,-0.479900,-0.507400,-0.130400,0.129500,0.217100,-0.004500,0.044000,0.122100,0.153900,0.004258,0.499401
2002-01-09,1155.140000,0.122100,-0.421000,-0.499000,-0.217700,0.008100,0.101200,-0.072400,-0.021400,0.055300,0.064256,0.508074
2002-01-10,1156.550000,-0.946800,-0.180000,-0.240200,-0.344200,-0.150100,0.027000,0.104200,-0.048200,-0.005600,0.085370,0.497393
2002-01-11,1145.600000,-0.627600,-0.414400,-0.437000,-0.417700,-0.465300,-0.282800,-0.111700,-0.026700,-0.147900,0.038638,0.494153
2002-01-14,1138.410000,0.683400,-0.794200,-0.486300,-0.485200,-0.460000,-0.492700,-0.331900,-0.175600,-0.092900,0.023797,0.501616
2002-01-15,1146.189900,-1.624500,0.025800,-0.302000,-0.195100,-0.252900,-0.270900,-0.326200,-0.206500,-0.081500,0.062077,0.521821
2002-01-16,1127.569900,1.003000,-0.476700,-0.528400,-0.635800,-0.482500,-0.482400,-0.464700,-0.488700,-0.363600,0.101560,0.525433
2002-01-17,1138.880000,-0.992200,-0.322500,0.013800,-0.147700,-0.310200,-0.237300,-0.272600,-0.283700,-0.325400,0.043892,0.502550
2002-01-18,1127.580000,-0.733400,0.000400,-0.548300,-0.238500,-0.317300,-0.424500,-0.345300,-0.362600,-0.362400,0.093922,0.543200
2002-01-22,1119.310100,0.792500,-0.871000,-0.244000,-0.595600,-0.337500,-0.386700,-0.468800,-0.393700,-0.403700,0.060452,0.500145
2002-01-23,1128.180100,0.351900,0.026700,-0.317000,0.013500,-0.319200,-0.150700,-0.219800,-0.312700,-0.263600,0.074091,0.529553
2002-01-24,1132.150000,0.099800,0.568100,0.135200,-0.149300,0.081100,-0.207300,-0.079000,-0.148500,-0.239100,0.103523,0.521190
