cdate,cp,pctlead,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,dow,moy,pred_linr,pred_logr
2017-01-03,2257.830100,0.572200,0.190600,0.117300,-0.122800,-0.052900,-0.023100,-0.046500,-0.071600,-0.023100,0.020000,0.010000,0.005890,0.510538
2017-01-04,2270.750000,0.000000,0.704900,0.317600,0.231000,0.016600,0.051400,0.062000,0.030800,-0.000000,0.030000,0.010000,-0.025076,0.500295
