cdate,cp,pctlead,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,pred_linr,pred_logr
2006-01-03,1268.800000,0.367300,0.571300,0.281900,0.243800,0.002200,0.009000,0.068100,0.091000,0.078300,0.025052,0.496526
2006-01-04,1273.460000,0.001600,0.990100,0.502300,0.303100,0.268400,0.063500,0.060500,0.105700,0.121800,0.032316,0.495782
2006-01-05,1273.480000,0.939900,0.183700,0.660200,0.376400,0.242300,0.223600,0.054600,0.053100,0.094000,0.023014,0.491368
2006-01-06,1285.450000,0.365600,0.468600,0.434500,0.728500,0.488700,0.358800,0.326200,0.165900,0.152200,-0.003261,0.498804
2006-01-09,1290.150000,-0.035700,0.647200,0.433600,0.416800,0.654900,0.467700,0.359600,0.331100,0.188400,0.030116,0.485542
2006-01-10,1289.689900,0.348200,0.164400,0.419400,0.315800,0.325800,0.539000,0.395000,0.309500,0.289700,0.020646,0.477336
2006-01-11,1294.180100,-0.627400,0.156000,0.225300,0.401200,0.322100,0.329300,0.511300,0.388900,0.313700,-0.028773,0.475537
2006-01-12,1286.060100,0.120500,-0.140700,-0.105700,0.011800,0.195200,0.163200,0.191900,0.368100,0.274900,0.028403,0.489891
2006-01-13,1287.610000,-0.363500,-0.255300,-0.053800,-0.049200,0.033500,0.182700,0.157100,0.183000,0.340500,0.027807,0.493615
2006-01-17,1282.930100,-0.389700,-0.121800,-0.291700,-0.131200,-0.112100,-0.032600,0.104800,0.092000,0.122200,0.032643,0.501233
2006-01-18,1277.930100,0.556400,-0.378000,-0.211300,-0.316500,-0.182900,-0.158300,-0.083500,0.043200,0.038600,0.047112,0.499874
2006-01-19,1285.040000,-1.832600,0.082300,-0.066800,-0.019900,-0.142400,-0.060300,-0.056800,-0.004000,0.099800,0.046921,0.508388
2006-01-20,1261.490000,0.184700,-0.645600,-0.560600,-0.511400,-0.384200,-0.425600,-0.314200,-0.279200,-0.207400,0.070146,0.524026
2006-01-23,1263.819900,0.240500,-0.840300,-0.370300,-0.375600,-0.373400,-0.290400,-0.339400,-0.252700,-0.228400,0.076289,0.521497
2006-01-24,1266.860000,-0.172100,0.212200,-0.479400,-0.218000,-0.252900,-0.271700,-0.215100,-0.267500,-0.198400,0.085558,0.532079
2006-01-25,1264.680100,0.723500,0.034000,0.084100,-0.402600,-0.208900,-0.239500,-0.257600,-0.209800,-0.257000,0.080117,0.502794
2006-01-26,1273.830000,0.776400,0.274600,0.263000,0.243400,-0.177100,-0.053800,-0.102300,-0.135400,-0.106700,0.042938,0.509441
2006-01-27,1283.720000,0.114500,0.744500,0.441100,0.391000,0.349900,-0.017300,0.065100,0.007800,-0.033900,0.015580,0.501752
2006-01-30,1285.189900,-0.397600,0.442200,0.533700,0.358900,0.335300,0.310300,0.001700,0.071300,0.019700,0.065314,0.501186
2006-01-31,1280.080000,0.185900,-0.141900,0.162400,0.300600,0.207000,0.212400,0.208500,-0.048700,0.018800,0.012378,0.501976
2006-02-01,1282.460000,-0.906100,-0.106500,-0.032700,0.168200,0.277600,0.203400,0.208600,0.205600,-0.022500,0.034797,0.496153
2006-02-02,1270.840000,-0.535900,-0.361900,-0.374300,-0.251600,-0.046700,0.080200,0.044500,0.068800,0.081500,0.065008,0.505881
2006-02-03,1264.030000,0.078300,-0.727100,-0.420400,-0.415100,-0.308500,-0.127800,-0.007300,-0.027700,0.001800,0.042882,0.500723
2006-02-06,1265.020000,-0.809500,-0.230100,-0.459000,-0.296300,-0.317000,-0.244500,-0.098600,0.003300,-0.016000,0.053777,0.510527
2006-02-07,1254.780000,0.866300,-0.367100,-0.424400,-0.547600,-0.399200,-0.399200,-0.325100,-0.187000,-0.086400,0.075922,0.517060
2006-02-08,1265.650000,-0.147700,0.025000,0.042800,-0.102800,-0.266000,-0.189800,-0.220000,-0.177700,-0.071400,0.058768,0.512119
2006-02-09,1263.780000,0.254000,0.355800,-0.032800,-0.005000,-0.111800,-0.246300,-0.183800,-0.211000,-0.174400,0.056964,0.519401
2006-02-10,1266.990000,-0.326000,0.052900,0.321600,0.039000,0.046900,-0.050800,-0.174800,-0.129200,-0.159500,0.058851,0.505600
2006-02-13,1262.860000,1.003300,-0.036400,-0.073500,0.159700,-0.034200,-0.015400,-0.090200,-0.193800,-0.151100,0.057348,0.522541
2006-02-14,1275.530000,0.350400,0.336400,0.308800,0.194900,0.327600,0.138500,0.129900,0.046400,-0.060800,0.034147,0.495431
2006-02-15,1280.000000,0.732800,0.670700,0.340700,0.319000,0.226000,0.331200,0.168900,0.157600,0.080400,0.055917,0.495864
2006-02-16,1289.380000,-0.166000,0.539000,0.689700,0.438400,0.401600,0.310700,0.388600,0.239800,0.221900,-0.019205,0.472294
2006-02-17,1287.240000,-0.327100,0.281000,0.303600,0.475000,0.316700,0.306200,0.241900,0.318500,0.194100,0.017242,0.491481
2006-02-21,1283.030000,0.751300,-0.247100,0.078500,0.145900,0.314400,0.208900,0.215200,0.170200,0.246200,0.010224,0.494399
2006-02-22,1292.670000,-0.377500,0.210800,0.085200,0.245900,0.266500,0.386700,0.286300,0.282200,0.234900,0.038503,0.492906
2006-02-23,1287.790000,0.127400,0.184500,0.014200,-0.030900,0.121000,0.158800,0.277100,0.202800,0.208300,0.020131,0.485684
2006-02-24,1289.430100,0.363700,-0.125700,0.165400,0.042500,0.000800,0.122000,0.154300,0.258300,0.194300,0.017941,0.482573
2006-02-27,1294.120000,-1.040100,0.245000,0.037500,0.214800,0.106700,0.061300,0.156500,0.180400,0.270000,0.010803,0.499314
2006-02-28,1280.660000,0.826100,-0.340600,-0.184500,-0.233100,-0.036800,-0.085100,-0.096700,0.006400,0.044300,0.055398,0.506612
2006-03-01,1291.240000,-0.162600,-0.112000,0.046800,0.066900,-0.022200,0.106100,0.044400,0.018000,0.096900,0.040104,0.502600
2006-03-02,1289.140000,-0.148200,0.328600,-0.129000,-0.005600,0.020900,-0.045700,0.067700,0.018400,-0.002100,0.042709,0.506055
2006-03-03,1287.230000,-0.696800,-0.155600,0.169900,-0.133800,-0.034100,-0.007200,-0.060300,0.040700,-0.000100,0.049307,0.493365
2006-03-06,1278.260000,-0.186200,-0.424100,-0.336700,-0.046600,-0.246800,-0.144700,-0.105800,-0.139900,-0.041200,0.045116,0.520336
2006-03-07,1275.880000,0.203000,-0.444400,-0.345200,-0.299400,-0.074400,-0.236800,-0.150600,-0.115800,-0.145100,0.056181,0.514120
2006-03-08,1278.470000,-0.488100,0.008200,-0.228600,-0.208400,-0.199300,-0.028400,-0.174300,-0.106700,-0.080600,0.095337,0.517453
2006-03-09,1272.230000,0.722400,-0.143100,-0.157600,-0.293800,-0.264500,-0.247500,-0.094000,-0.213500,-0.149000,0.044049,0.506473
2006-03-10,1281.420000,0.211500,0.115500,0.144600,0.061900,-0.091000,-0.100600,-0.109600,0.007400,-0.110100,0.048879,0.502883
2006-03-13,1284.130000,1.039600,0.463800,0.147500,0.161300,0.091800,-0.040400,-0.055900,-0.069400,0.030100,0.044990,0.512230
2006-03-14,1297.480000,0.427000,0.622100,0.653600,0.370200,0.336800,0.249900,0.114300,0.081300,0.054100,0.033653,0.490431
2006-03-15,1303.020000,0.177300,0.726400,0.556000,0.596000,0.381300,0.351700,0.275300,0.153700,0.120100,0.015718,0.492683
2006-03-16,1305.330000,0.147100,0.301000,0.542800,0.460700,0.511500,0.346900,0.326400,0.262900,0.156400,-0.000611,0.481455
2006-03-17,1307.250000,-0.166000,0.161900,0.249500,0.443500,0.397600,0.450200,0.318000,0.303700,0.249800,0.023337,0.491994
2006-03-20,1305.080000,-0.601500,-0.009600,0.052600,0.145600,0.321400,0.303200,0.361600,0.257000,0.251000,0.009617,0.486505
2006-03-21,1297.230000,0.602100,-0.385000,-0.207200,-0.111000,-0.003800,0.167600,0.173700,0.240800,0.161000,0.039717,0.491631
2006-03-22,1305.040000,-0.258200,-0.001500,-0.056600,-0.005600,0.031000,0.096600,0.229300,0.227000,0.280800,0.011528,0.488824
2006-03-23,1301.670000,0.098300,0.170300,-0.087300,-0.107100,-0.056200,-0.017300,0.045900,0.168300,0.173000,0.042799,0.496716
2006-03-24,1302.950000,-0.102800,-0.080200,0.146300,-0.040900,-0.066000,-0.030400,-0.000800,0.052500,0.160500,0.025378,0.494691
2006-03-27,1301.610000,-0.643800,-0.002300,-0.087800,0.084000,-0.053300,-0.072200,-0.040800,-0.013500,0.035200,0.038399,0.511789
2006-03-28,1293.230000,0.747000,-0.374600,-0.216500,-0.227100,-0.061500,-0.151900,-0.154000,-0.116200,-0.083500,0.059634,0.513575
2006-03-29,1302.890000,-0.202600,0.049300,-0.001500,0.023500,-0.033100,0.072500,-0.024100,-0.041900,-0.020800,0.061711,0.508560
2006-03-30,1300.250000,-0.413800,0.269700,-0.034900,-0.051900,-0.021800,-0.061400,0.033200,-0.046400,-0.059800,0.044438,0.503677
2006-03-31,1294.870000,0.227100,-0.309000,0.042100,-0.129800,-0.124400,-0.087200,-0.111800,-0.022700,-0.087300,0.050297,0.500277
2006-04-03,1297.810100,0.625700,-0.094100,-0.130500,0.088100,-0.058600,-0.066000,-0.042400,-0.069600,0.005000,0.039055,0.515257
2006-04-04,1305.930100,0.431100,0.424800,0.145700,0.058500,0.195300,0.055400,0.032800,0.041000,0.007600,0.051652,0.501911
2006-04-05,1311.560100,-0.192100,0.525300,0.426300,0.217100,0.133200,0.234600,0.109300,0.082700,0.084400,0.046078,0.492348
2006-04-06,1309.040000,-1.034300,0.118700,0.286000,0.271200,0.134800,0.078700,0.173300,0.071300,0.052000,0.002189,0.492088
2006-04-07,1295.500000,0.086500,-0.616600,-0.266300,-0.044200,0.009700,-0.060800,-0.081100,0.021800,-0.052200,0.047686,0.512799
2006-04-10,1296.620000,-0.775100,-0.479100,-0.383000,-0.178600,-0.018300,0.022400,-0.039800,-0.060200,0.028900,0.063937,0.516786
2006-04-11,1286.569900,0.120500,-0.345700,-0.579300,-0.481700,-0.297900,-0.144000,-0.091200,-0.131600,-0.139500,0.083551,0.514566
2006-04-12,1288.120000,0.077600,-0.330100,-0.190600,-0.404900,-0.362000,-0.228700,-0.106600,-0.065000,-0.103800,0.051231,0.497635
2006-04-13,1289.120000,-0.294000,0.098900,-0.194100,-0.123600,-0.308600,-0.289000,-0.185200,-0.083700,-0.049200,0.051831,0.514196
2006-04-17,1285.330000,1.707700,-0.108400,-0.032100,-0.219300,-0.157800,-0.306300,-0.289800,-0.198800,-0.107000,0.058590,0.514991
2006-04-18,1307.280000,0.202700,0.700500,0.493600,0.400600,0.165100,0.151900,-0.019500,-0.041300,0.011600,0.050492,0.506860
2006-04-19,1309.930100,0.116800,0.939900,0.533200,0.420100,0.360500,0.171400,0.159200,0.008600,-0.014000,0.028518,0.497565
2006-04-20,1311.460000,-0.013700,0.159500,0.665100,0.428500,0.358900,0.319500,0.163500,0.153800,0.020700,0.021213,0.484560
2006-04-21,1311.280000,-0.241800,0.051500,0.101700,0.495200,0.339600,0.296400,0.271500,0.141100,0.135000,0.010944,0.504256
2006-04-24,1308.110000,-0.487000,-0.127900,-0.046300,0.015800,0.347900,0.242400,0.219100,0.206900,0.098200,0.039690,0.493851
2006-04-25,1301.740000,0.281900,-0.365500,-0.247900,-0.156500,-0.084700,0.209100,0.138100,0.130700,0.129500,0.057179,0.497693
2006-04-26,1305.410000,0.330200,-0.103600,-0.149900,-0.115800,-0.069100,-0.023800,0.219300,0.156000,0.147400,0.006834,0.487938
2006-04-27,1309.720000,0.068000,0.305100,0.041100,-0.029900,-0.026600,-0.002700,0.026600,0.233100,0.175300,0.044243,0.493581
2006-04-28,1310.610000,-0.413600,0.198400,0.225900,0.047800,-0.010300,-0.010800,0.007400,0.031800,0.214700,0.024253,0.497494
2006-05-01,1305.189900,0.614500,-0.173200,-0.005600,0.066000,-0.044700,-0.077700,-0.068500,-0.045300,-0.017800,0.036371,0.509287
2006-05-02,1313.210000,-0.387600,0.099300,0.088800,0.148900,0.175300,0.065000,0.021100,0.016700,0.027900,0.041498,0.507035
2006-05-03,1308.120000,0.315700,0.111800,-0.063400,-0.030600,0.041400,0.081300,0.000100,-0.030200,-0.028400,0.066717,0.508903
2006-05-04,1312.250000,1.029500,-0.036600,0.179500,0.031300,0.038600,0.087000,0.114700,0.039600,0.008200,0.027815,0.491282
2006-05-05,1325.760000,-0.083000,0.668700,0.318000,0.391100,0.230800,0.203700,0.221600,0.229000,0.149700,0.021201,0.492187
2006-05-08,1324.660000,0.036200,0.468200,0.417400,0.217200,0.295700,0.178100,0.162400,0.183200,0.194000,0.021593,0.487703
2006-05-09,1325.140000,-0.172800,-0.023400,0.324200,0.321900,0.180900,0.252200,0.157700,0.146500,0.166700,0.018930,0.493250
2006-05-10,1322.850000,-1.279800,-0.068400,-0.073300,0.200100,0.222800,0.121700,0.191300,0.116200,0.110800,0.017241,0.503093
2006-05-11,1305.920000,-1.124100,-0.731100,-0.474000,-0.375900,-0.095800,-0.027800,-0.079000,0.006900,-0.039600,0.074217,0.510266
2006-05-12,1291.240000,0.252500,-1.217100,-0.864800,-0.637200,-0.525400,-0.266100,-0.183300,-0.208900,-0.117900,0.071420,0.520869
2006-05-15,1294.500000,-0.186900,-0.441700,-0.728500,-0.587600,-0.461200,-0.397500,-0.193100,-0.129700,-0.158400,0.071760,0.516825
2006-05-16,1292.080000,-1.684100,0.032500,-0.356900,-0.593600,-0.508100,-0.416000,-0.367800,-0.192400,-0.136000,0.095736,0.515518
2006-05-17,1270.319900,-0.669900,-0.943600,-0.542400,-0.691500,-0.813900,-0.704900,-0.597000,-0.531700,-0.356800,0.078841,0.531453
2006-05-18,1261.810100,0.413700,-1.195400,-0.854800,-0.574900,-0.688100,-0.791100,-0.700700,-0.606400,-0.547100,0.092581,0.553626
2006-05-19,1267.030000,-0.391500,-0.130100,-0.659400,-0.539600,-0.379100,-0.506600,-0.621400,-0.563900,-0.495500,0.144102,0.554392
2006-05-22,1262.069900,-0.435000,0.010300,-0.217600,-0.592900,-0.510400,-0.381400,-0.490500,-0.593300,-0.545200,0.130407,0.529080
2006-05-23,1256.580000,0.158400,-0.414900,-0.138200,-0.272200,-0.561900,-0.498300,-0.389200,-0.483900,-0.576200,0.064929,0.520900
2006-05-24,1258.569900,1.137000,-0.139200,-0.224000,-0.064200,-0.186300,-0.442300,-0.405100,-0.321500,-0.413400,0.072061,0.533554
2006-05-25,1272.880000,0.571900,0.643900,0.285400,0.115800,0.175200,0.033800,-0.217000,-0.213200,-0.160500,0.094396,0.521019
